DATE,CFNAI
2008-12-01,-2.57
2009-01-01,-2.92
2009-02-01,-1.18
2009-03-01,-2.26
2009-04-01,-1.53
2009-05-01,-1.11
2009-06-01,-0.86
2009-07-01,0.15
2009-08-01,0.01
2009-09-01,-0.23
2009-10-01,-0.29
2009-11-01,0.06
2009-12-01,-0.31
2010-01-01,0.17
2010-02-01,-0.36
2010-03-01,0.48
2010-04-01,0.39
2010-05-01,0.3
2010-06-01,-0.15
2010-07-01,0.16
2010-08-01,-0.17
2010-09-01,-0.21
2010-10-01,-0.11
2010-11-01,-0.18
2010-12-01,0.07
2011-01-01,0.04
2011-02-01,-0.39
2011-03-01,0.39
2011-04-01,-0.48
2011-05-01,-0.32
2011-06-01,0.0
2011-07-01,0.17
2011-08-01,-0.03
2011-09-01,-0.26
2011-10-01,0.15
2011-11-01,-0.34
2011-12-01,0.27
2012-01-01,0.34
2012-02-01,-0.03
2012-03-01,-0.38
2012-04-01,0.07
2012-05-01,-0.19
2012-06-01,-0.33
2012-07-01,-0.27
2012-08-01,-0.44
2012-09-01,-0.11
2012-10-01,-0.26
2012-11-01,0.29
2012-12-01,0.14
2013-01-01,-0.35
2013-02-01,0.21
2013-03-01,-0.25
2013-04-01,-0.3
2013-05-01,0.14
2013-06-01,-0.16
2013-07-01,-0.5
2013-08-01,0.27
2013-09-01,0.11
2013-10-01,0.0
2013-11-01,0.28
2013-12-01,-0.15
2014-01-01,-0.69
2014-02-01,0.44
2014-03-01,0.44
2014-04-01,0.04
2014-05-01,0.11
2014-06-01,0.14
2014-07-01,0.3
2014-08-01,-0.23
2014-09-01,0.04
2014-10-01,0.01
2014-11-01,0.26
2014-12-01,0.05
2015-01-01,-0.25
2015-02-01,-0.44
2015-03-01,-0.02
2015-04-01,0.0
2015-05-01,-0.36
2015-06-01,-0.1
2015-07-01,0.33
2015-08-01,-0.32
2015-09-01,-0.13
2015-10-01,-0.24
2015-11-01,-0.35
2015-12-01,-0.31
2016-01-01,0.09
2016-02-01,-0.21
2016-03-01,-0.32
2016-04-01,-0.14
2016-05-01,-0.32
2016-06-01,0.12
2016-07-01,0.05
2016-08-01,-0.23
2016-09-01,-0.07
2016-10-01,-0.05
2016-11-01,-0.21
2016-12-01,0.36
2017-01-01,-0.19
2017-02-01,-0.11
2017-03-01,0.09
2017-04-01,0.32
2017-05-01,-0.04
2017-06-01,0.14
2017-07-01,-0.08
2017-08-01,-0.06
2017-09-01,0.16
2017-10-01,0.56
2017-11-01,0.22
2017-12-01,0.13
2018-01-01,-0.2
2018-02-01,0.41
2018-03-01,0.19
2018-04-01,0.36
2018-05-01,-0.21
2018-06-01,0.23
2018-07-01,0.1
2018-08-01,0.26
2018-09-01,0.02
2018-10-01,-0.13
2018-11-01,-0.09
2018-12-01,-0.11
2019-01-01,-0.09
2019-02-01,-0.37
2019-03-01,0.01
2019-04-01,-0.57
2019-05-01,-0.07
2019-06-01,0.1
2019-07-01,-0.28
2019-08-01,0.12
2019-09-01,-0.32
2019-10-01,-0.53
2019-11-01,0.17
2019-12-01,-0.28
2020-01-01,-0.09
2020-02-01,0.03
2020-03-01,-4.27
2020-04-01,-17.72
2020-05-01,4.63
2020-06-01,5.88
2020-07-01,2.58
2020-08-01,1.22
2020-09-01,0.37
2020-10-01,1.0
2020-11-01,0.26
2020-12-01,0.34
2021-01-01,1.2
2021-02-01,-1.67
2021-03-01,2.3
2021-04-01,-0.16
2021-05-01,0.26
2021-06-01,0.09
